id,vignette_text,message_a,relevance_a_1_5,specificity_a_1_5,sdt_alignment_a_1_5,motivational_usefulness_a_1_5,message_b,relevance_b_1_5,specificity_b_1_5,sdt_alignment_b_1_5,motivational_usefulness_b_1_5,message_c,relevance_c_1_5,specificity_c_1_5,sdt_alignment_c_1_5,motivational_usefulness_c_1_5,message_d,relevance_d_1_5,specificity_d_1_5,sdt_alignment_d_1_5,motivational_usefulness_d_1_5
v023,Reviewer two's comments on my last submission were so harsh that I am scared to submit anywhere again.,"""Reviewer two's harshness says nothing about your work's worth — harsh reviews often reflect a single perspective, not universal truth. Your research still deserves to be heard. One difficult review shouldn't silence your voice; other journals, other readers, and better fits are waiting for you.""",,,,,"It is understandable to worry about being judged. What would count as 'good enough' for you this time, separate from how others might score it?",,,,,It's natural to feel anxious in a situation like this.,,,,,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,
v019,I worry I will be replaced by an AI tool that can grade and lecture faster than I ever could.,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,,It's natural to feel anxious in a situation like this.,,,,,"Feeling uncertain before a high-stakes moment is common, even for very experienced people. What is one thing you already know you do well here?",,,,,"""Your ability to mentor, inspire curiosity, and truly *know* your students is something no grading algorithm can replicate. The irreplaceable part of teaching has always been the human connection you bring to the room — and that genuinely matters.""",,,,
v017,I am terrified that my upcoming tenure review will focus only on numbers and ignore years of mentoring work.,"It is understandable to worry about being judged. What would count as 'good enough' for you this time, separate from how others might score it?",,,,,It's natural to feel anxious in a situation like this.,,,,,"Your years of mentoring have genuinely shaped students' lives and careers — that's real, substantive academic work. As your review approaches, consider documenting specific mentoring outcomes concretely. That evidence deserves a place in the conversation alongside any metrics.",,,,,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,
v021,I am anxious that one bad semester of reviews could end my contract renewal.,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,,"""One difficult semester doesn't erase the expertise and dedication you bring to your work every day. Student reviews capture a moment, not your full value as an educator. Your commitment to growth is exactly what sustains a meaningful, lasting academic career.""",,,,,"Feeling uncertain before a high-stakes moment is common, even for very experienced people. What is one thing you already know you do well here?",,,,,That sounds like a genuinely worrying thing to be dealing with.,,,,
v022,I dread the annual performance meeting because I never know which numbers they will judge me by this time.,"It is understandable to worry about being judged. What would count as 'good enough' for you this time, separate from how others might score it?",,,,,That sounds like a genuinely worrying thing to be dealing with.,,,,,"""Not knowing which metrics will define your work this year is genuinely unsettling. Your contributions are far broader than any single number can capture — and advocating clearly beforehand for which measures best reflect your actual impact is both reasonable and worth pursuing.""",,,,,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,
v068,I sometimes wonder if anyone would notice if I stopped showing up to non-mandatory department events.,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,,"It sounds like that's been a difficult, disheartening experience.",,,,,"""Your presence at those gatherings genuinely shapes the room, even when it doesn't feel that way. Colleagues notice the people who show up — and they notice when someone's missing. You matter more to that department than you're currently able to see.""",,,,,"Your work seems to be going unnoticed right now, and that is worth naming. Who would you want to know about it?",,,,
v066,"I quietly stepped down from chairing the committee I built over ten years, and there was no acknowledgment at all.",That sounds like a genuinely sad situation to be in.,,,,,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,,"It sounds like this has felt isolating. Is there one colleague you could reach out to this week, even briefly?",,,,,"""Ten years of building something meaningful deserves more than silence. The work you poured into that committee shaped real people and outcomes — that legacy doesn't disappear with a quiet transition. The impact you created speaks louder than any acknowledgment ever could.""",,,,
v025,Nobody on the faculty has asked how I am doing since I came back from sick leave.,"It sounds like that's been a difficult, disheartening experience.",,,,,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,,"Your work seems to be going unnoticed right now, and that is worth naming. Who would you want to know about it?",,,,,"""Returning from sick leave and feeling invisible to colleagues is genuinely hard — you deserved a warm welcome back. Your presence on that faculty matters, and I hope someone reaches out soon. You shouldn't have to navigate this return alone.""",,,,
v030,"After my student's thesis won an award, the department announcement did not even mention my name as the supervisor.","Your mentorship shaped that award-winning thesis, and no announcement can erase that. The student whose work succeeded knows exactly who guided them there. That relationship — and what you built together — is the real legacy worth holding onto.",,,,,"It sounds like that's been a difficult, disheartening experience.",,,,,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,,"Your work seems to be going unnoticed right now, and that is worth naming. Who would you want to know about it?",,,,
v028,My mentor retired and I do not think anyone else here really knows what I am working on.,"It sounds like that's been a difficult, disheartening experience.",,,,,"Your mentor's retirement leaves a real void — having someone who truly understands your work matters deeply. Consider sharing your research with a colleague or collaborator, even briefly. You might be surprised who becomes genuinely curious. Your work deserves to be known.",,,,,"Your work seems to be going unnoticed right now, and that is worth naming. Who would you want to know about it?",,,,,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,
v071,Our small reading group has turned into one of the most intellectually alive parts of my week.,"""There's something quietly powerful about a small group that chooses to think deeply together. The aliveness you're feeling in that reading circle is real and worth protecting — keep showing up for it. Those conversations matter more than you know.""",,,,,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,,It's great that this felt like a positive experience for you.,,,,,This is a good sign that things are on the right track. Take a moment to actually notice it before moving to the next task.,,,,
v036,My colleagues organized a small celebration when I finally finished my habilitation.,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,,It's great that this felt like a positive experience for you.,,,,,Completing your habilitation is a remarkable achievement that clearly resonates with everyone around you — your colleagues' celebration says it all. The dedication that milestone represents is something truly worth honoring. Savor this moment; you've more than earned it.,,,,,This is a good sign that things are on the right track. Take a moment to actually notice it before moving to the next task.,,,,
v075,Watching a once-struggling student finally have that 'click' moment in office hours made the whole semester worth it.,"""That 'click' moment you witnessed — you helped build it, patiently, one office hours session at a time. The student struggled, then didn't, partly because of you. That's not a small thing. It's exactly why your work matters.""",,,,,It's great that this felt like a positive experience for you.,,,,,"That is genuinely worth celebrating, well done. What made this moment work so well, so you can look for it again?",,,,,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,
v034,"Our research group's paper just got accepted, and the whole team is genuinely proud.","Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,,It's great that this felt like a positive experience for you.,,,,,"Congratulations on the acceptance — having your whole team share in that pride makes the achievement even more meaningful. The collective effort that goes into research like this is real, and moments like these are worth savoring together.",,,,,"That is genuinely worth celebrating, well done. What made this moment work so well, so you can look for it again?",,,,
v038,"The new lab equipment finally arrived, and I cannot wait to redesign the practical classes around it.","Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,,"""The arrival of that new equipment is such an exciting milestone! Redesigning your practical classes around it gives you a real chance to shape how students experience the subject firsthand — that creative freedom in teaching is genuinely something to look forward to.""",,,,,It's great that this felt like a positive experience for you.,,,,,"That is genuinely worth celebrating, well done. What made this moment work so well, so you can look for it again?",,,,
